p_cross,p_mut,population_size,generations,crossover_method,mutation_method,selection_method,elitism,selection_approach,hv_mean,hv_std,spa_mean,spa_std,spr_mean,spr_std
0.9,0.01,200,500,sbx,pm,multi_binary_tournament_by_rank_and_crowding,PartialByDiversity,pareto_front,17461859.959505927,832102.6317386709,72.89922221772959,13.758456944898727,6534.038437010206,1060.7345814615053
0.9,0.01,200,500,sbx,multi_mutate,binary_tournament_by_rank_and_crowding,PartialByDiversity,pareto_front,18866513.338556908,1120273.8400699792,66.94317702052433,14.943725461555342,7080.495398785763,1225.9224981811803
0.9,0.01,200,500,sbx,multi_mutate,multi_binary_tournament_by_rank_and_crowding,PartialByDiversity,pareto_front,19317934.47445195,1008232.7674680242,66.69610538164385,9.168911440126262,7132.559776727879,802.7330134381959
0.9,0.05,100,1000,sbx,pm,binary_tournament_by_rank_and_crowding,PartialByDiversity,pareto_front,12159704.818226906,725522.6450380526,94.40562796127573,22.833335013392993,5709.383124022334,1268.5252992233934
0.9,0.05,100,1000,sbx,pm,multi_binary_tournament_by_rank_and_crowding,PartialByDiversity,pareto_front,11969144.041853216,1076463.637901245,103.63592204965434,32.07247168324911,6038.8729349043515,1081.6574513016508
0.9,0.05,100,1000,sbx,multi_mutate,binary_tournament_by_rank_and_crowding,PartialByDiversity,pareto_front,13266950.901287308,650823.2383803325,87.5971897319706,16.12297461810781,6195.91087066227,718.5735154416166
0.9,0.05,100,1000,sbx,multi_mutate,multi_binary_tournament_by_rank_and_crowding,PartialByDiversity,pareto_front,13706046.800101126,626173.4475826964,91.4307938990265,22.50101914423652,7019.838815032742,915.80982930166
0.9,0.05,200,500,sbx,pm,binary_tournament_by_rank_and_crowding,PartialByDiversity,pareto_front,12463080.44092144,1050245.364457456,93.42973976471357,16.47194827339077,6414.957451765179,854.521460307135
0.9,0.05,200,500,sbx,pm,multi_binary_tournament_by_rank_and_crowding,PartialByDiversity,pareto_front,12569526.405654017,962285.0109779742,96.38092585286624,12.856132593723878,5615.624332250639,1119.8307347551738
0.9,0.05,200,500,sbx,multi_mutate,binary_tournament_by_rank_and_crowding,PartialByDiversity,pareto_front,14771910.198981244,674213.9296050149,92.74468076091455,17.588437686420768,6308.312761730104,1342.626267009611
0.9,0.05,200,500,sbx,multi_mutate,multi_binary_tournament_by_rank_and_crowding,PartialByDiversity,pareto_front,14087850.0967567,814021.844950335,98.0419423986382,18.980943889604447,7296.013691786495,653.5501901698061
